Name of Dorm,Name of Operator,Address,Latitude,Longitude,Phone,Use,License Status
Acacia Lodge,Keppel Housing Pte Ltd,"540 Bukit Batok Street 23, Singapore 659553",1.339981,103.75572,-,Commercial,Licensed
Alaunia Lodge,Sembcorp Marine Integrated Yard Pte Ltd,"Admiralty Road West, Singapore 759956",1.4560244,103.7986363,-,Non-commercial,Licensed
Avery Lodge,Averic Pte Ltd,"2D Jalan Papan, Singapore 619415",1.3204172,103.7301385,6265 9616,Commercial,Licensed
Blue Stars Dormitory,Labourtel Management Corporation Pte Ltd,"3 Kian Teck Lane, Singapore 627844",1.3328199,103.695299,9666 7860,Commercial,Licensed
Brani Residence,PSA Tanjong Pagar Complex Pte Ltd,"81 Brani Terminal Avenue, Singapore 098323",1.261673,103.832155,-,Non-commercial,Licensed
CCK Dorm A,Equation Technology Singapore Pte Ltd,5A Choa Chu Kang Grove S688216,1.373417,103.7486494,97338748,Commercial,Licensed
CCK Dorm B,China Construction (South Pacific) Development Co Pte Ltd,11A Choa Chu Kang Grove Singapore 688217,1.3717055,103.7470687,92772929,Commercial,Licensed
CCK Dorm C,Primetop Engineering Pte Ltd,7A Choa Chu Kang Grove Singapore 688218,1.3733027,103.7493172,62768208,Commercial,Licensed
CDPL Tuas Dormitory,Capital Development (Tuas) Pte Ltd,"6 Tuas South Street 15, Singapore 636906",1.2724532,103.6376793,6316 3882,Commercial,Licensed
Cassia @ Penjuru,Keppel Housing Pte Ltd,"11 Penjuru Walk, Singapore 608541",1.3178285,103.733024,-,Non-commercial,Licensed
Centurion - Lian Beng (Papan) Pte Ltd,Centurion / Lian Beng (Papan) Pte Ltd,"5C Jalan Papan, Singapore 619420",1.3222239,103.7278306,-,Commercial,Licensed
Changi Lodge 2,S11 Capital Investments Pte Ltd,70 Tanah Merah Coast Road Singapore 498751,1.3128115,103.9978206,6587 6200,Commercial,Licensed
Cochrane Lodge 1,Vobis Enterprise Pte Ltd,"51 Admiralty Road West, Singapore 757443",1.4598279,103.8201,6890 6333,Commercial,Licensed
Cochrane Lodge 2,Vobis Enterprise Pte Ltd,"49 Admiralty Road West, Singapore 757444",1.4614063,103.8180487,6890 6333,Commercial,Licensed
Dorm 13A Admiralty Street,S11 Capital Investments Pte Ltd,13A Admiralty Street Singapore 756934,1.4613355,103.8132259,93228526,Commercial,Licensed
Dorm 19A Admiralty Street,Topzone Builders Pte Ltd,19A Admiralty Street Singapore 756937,1.4610606,103.8116771,62974466,Commercial,Licensed
Dorm 21A & 23A Admiralty Street,D Wall Pte Ltd,21A Admiralty Street Singapore 756935,1.4610606,103.8116771,98369930,Commercial,Licensed
Homestay Lodge,Homestay Management Pte Ltd,"39 Kaki Bukit Avenue 3, Singapore 415920",1.338132,103.9096411,6741 9988,Commercial,Licensed
Hulett Dormitory,Hulett Construction (S) Pte Ltd,"20 Senoko Drive, Singapore 758207",1.459892,103.800434,6383 4925,Commercial,Licensed
JTC Space @ Tuas Biomedical Park Dormitory,Westlite Dormitory (V Six) Pte Ltd,128 Tuas South Avenue 3 Singapore 637370,1.2888927,103.6267754,,Non-commercial,Li
Jurong Apartments,Cushman & Wakefield Facilities & Engineering (S) Limited,"529 Upper Jurong Road, Singapore 638355",1.3294321,103.6767506,6558 6156,Commercial,Licensed
Jurong Penjuru Dormitory 1,Labourtel Management Corporation Pte Ltd,"58 Penjuru Place, Singapore 608562",1.3161141,103.7313267,9666 7860,Commercial,Licensed
Jurong Penjuru Dormitory 2,Labourtel Management Corporation Pte Ltd,"36 Penjuru Place, Singapore 608560",1.316245,103.732232,9666 7860,Commercial,Licensed
Kian Teck Dormitory,Averic Capital Management Pte Ltd,"26 Kian Teck Avenue, Singapore 628920",1.3286465,103.6952288,6261 1280,Commercial,Licensed
Kian Teck Hostel,Joint Shipyard Management Services Pte Ltd,"30 Kian Teck Avenue, Singapore 628921",1.332903,103.693899,-,Non-commercial,Licensed
Kranji Lodge 1,Vobis Enterprise Pte Ltd,"12 Kranji Road, Singapore 739522",1.4316705,103.7598538,6890 6333,Commercial,Licensed
Kranji Way Dormitory,Westlite Dormitory (Woodlands) Pte Ltd,18A Kranji Way Singapore 739443,1.4357076,103.7491848,"81110777, 98151851",Commercial,Licensed
North Coast Lodge,Draco Venture Pte Ltd,"51 North Coast Avenue, Singapore 756992",1.4561613,103.7873463,9647 9316,Commercial,Licensed
PPT Lodge 1A,Tee Up Dormitory Pte Ltd,"8 Seletar North Link, Singapore 797455",1.4190538,103.8965462,6556 3121,Commercial,Licensed
PPT Lodge 1B,S11 Granuity Management Pte Ltd,"2 Seletar North Link, Singapore 797601",1.416744,103.8960838,6587 6200,Commercial,Licensed
Pasir Panjang Residence,PSA Tanjong Pagar Complex Pte Ltd,"33 Harbour Drive, Singapore 117606",1.2848037,103.775677,-,Non-commercial,Licensed
SCM Tuas Lodge,Jurong Shipyard Pte Ltd,"80 Tuas South Boulevard, Singapore 637051",1.2525586,103.6138551,-,Non-commercial,Licensed
Shaw Lodge Dormitory,Hallton Investment Pte Ltd,"12 Shaw Road, Singapore 367951",1.3369367,103.8846556,6744 5577,Commercial,Licensed
Space @ Tuas Apartment,C&W Services (S) Pte Ltd,16 Tuas Avenue 1 #07-201 Singapore 639529,1.32214,103.6608261,6255 3073,Commercial,Licensed
Sungei Tengah Lodge,TG25 Pte Ltd,"500 Old Choa Chu Kang Road, Singapore 698924",1.3765012,103.7184214,6891 2232,Commercial,Licensed
Tampines Dormitory,TPD Facilities Management Pte Ltd,"2 Tampines Place, Singapore 528821",1.366664,103.929454,6784 6929,Commercial,Licensed
Temporary Dormitory at 121 Queensway,Eco Energy Pte Ltd,121 Queensway Singapore 149059,1.3020951,103.800118,,Non-commercial,Licensed
The Leo,Labourtel Management Corporation Pte Ltd,"25 Kaki Bukit Road 3, Singapore 415815",1.3378017,103.9026321,9666 7860,Commercial,Licensed
Toh Guan Dormitory,Capital Development Pte Ltd,"19A Toh Guan Road East, Singapore 608567",1.338199,103.753148,6896 7280,Commercial,Licensed
Tuas Seatown Dormitory Pte Ltd (FCD),D Wall Pte Ltd,"69H Tuas South Avenue 1, Singapore 637509",1.314398,103.627911,6299 5903,Commercial,Licensed
Tuas South Dormitory,Nexus Point Investments Pte Ltd,"1 Tuas South Street 12, Singapore 636946",1.2722916,103.6324395,6291 4082,Commercial,Licensed
Tuas View Dormitory,TS Management Services Pte Ltd,"70 Tuas South Avenue 1, Singapore 637285",1.3140821,103.6256902,9380 4034,Commercial,Licensed
Westlite Dormitory (Toh Guan) Pte Ltd,Westlite Dormitory Toh Guan Pte Ltd,"18 Toh Guan Road East, Singapore 608591",1.3358255,103.7514997,6316 3018,Commercial,Licensed
Westlite Juniper,Westlite Juniper (Mandai) Pte Ltd,"23 Mandai Estate, Singapore 729937",1.4063852,103.7597008,-,Non-commercial,Licensed
Westlite Mandai Dormitory,Lian Beng / Centurion (Dormitory) Pte Ltd,"34 Mandai Estate, Singapore 729940",1.40717,103.758193,6368 1878,Commercial,Licensed
Westlite Tuas Ave 2 Dormitory,Westlite Dormitory (Woodlands) Pte Ltd,1A Tuas Avenue 2 Singapore 639467,1.3214687,103.6504491,88554145,Commercial,Licensed
Westlite Woodlands Dormitory,Westlite Dormitory (Woodlands) Pte Ltd,"2 Woodlands Sector 2, Singapore 737723",1.4608308,103.8097808,6250 6616,Commercial,Licensed
Woodlands Dormitory,WLD Facilities Management Pte Ltd,"27 Woodlands Sector 1, Singapore 738252",1.454745,103.80461,6753 3041,Commercial,Licensed
Woodlands Lodge 1,Nichefield Pte Ltd,"50 Woodlands Industrial Park E4, Singapore 757388",1.4496441,103.7959156,6783 7811,Commercial,Licensed
Woodlands Lodge 2,Civil Tech Management Pte Ltd,"190 Woodlands Industrial Park E7, Singapore 757178",1.4509949,103.7964426,6299 5880,Commercial,Licensed